'Elapsedtime','CO2','Rhum','Temp','TVOC'
'seconds','ppm','%','degC','ppb'
20190927081847,474.00,59.00,29.60,22.00
20190927081947,479.00,59.00,29.60,22.00
20190927082047,476.00,59.00,29.70,21.00
20190927082147,473.00,59.00,29.60,21.00
20190927082247,467.00,59.00,29.60,21.00
20190927082347,464.00,59.00,29.60,21.00
20190927082447,467.00,59.00,29.60,21.00
20190927082547,472.00,59.00,29.60,21.00
20190927082647,479.00,59.00,29.60,21.00
20190927082747,478.00,60.00,29.60,21.00
20190927082847,482.00,60.00,29.60,20.00
20190927082947,479.00,60.00,29.60,20.00
20190927083047,472.00,60.00,29.50,22.00
20190927083147,461.00,60.00,29.50,21.00
20190927083247,473.00,60.00,29.60,21.00
20190927083347,485.00,60.00,29.60,21.00
20190927083447,482.00,60.00,29.60,21.00
20190927083547,478.00,59.00,29.60,21.00
20190927083648,477.00,59.00,29.50,22.00
20190927083748,473.00,59.00,29.60,21.00
20190927083848,476.00,59.00,29.60,20.00
20190927083948,476.00,59.00,29.60,21.00
20190927084048,472.00,59.00,29.60,20.00
20190927084148,477.00,59.00,29.60,19.00
20190927084248,479.00,60.00,29.60,21.00
20190927084348,483.00,60.00,29.50,20.00
20190927084448,473.00,60.00,29.50,20.00
20190927084548,474.00,60.00,29.60,20.00
20190927084648,475.00,60.00,29.50,20.00
20190927084748,473.00,60.00,29.60,20.00
20190927084848,473.00,60.00,29.60,20.00
20190927084948,477.00,60.00,29.50,20.00
20190927085048,472.00,60.00,29.50,20.00
20190927085148,470.00,60.00,29.50,20.00
20190927085248,467.00,60.00,29.50,19.00
20190927085349,476.00,60.00,29.60,20.00
20190927085449,476.00,60.00,29.50,19.00
20190927085549,472.00,60.00,29.60,21.00
20190927085649,470.00,60.00,29.60,20.00
20190927085749,475.00,60.00,29.50,19.00
20190927085849,470.00,60.00,29.50,19.00
20190927085949,480.00,60.00,29.50,20.00
20190927090049,476.00,60.00,29.60,20.00
20190927090149,479.00,60.00,29.60,20.00
20190927090249,465.00,60.00,29.60,21.00
20190927090349,459.00,60.00,29.60,20.00
20190927090449,469.00,60.00,29.60,19.00
20190927090549,467.00,60.00,29.50,19.00
20190927090649,476.00,60.00,29.50,20.00
20190927090749,477.00,60.00,29.50,19.00
20190927090849,481.00,60.00,29.40,19.00
20190927090949,486.00,60.00,29.50,19.00
20190927091050,483.00,60.00,29.40,21.00
20190927091150,480.00,60.00,29.50,21.00
20190927091250,482.00,60.00,29.50,19.00
20190927091350,477.00,60.00,29.50,20.00
20190927091450,481.00,60.00,29.50,20.00
20190927091550,480.00,60.00,29.40,20.00
20190927091650,488.00,60.00,29.60,20.00
20190927091750,484.00,60.00,29.50,20.00
20190927091850,487.00,60.00,29.60,20.00
20190927091950,481.00,60.00,29.60,19.00
20190927092050,474.00,60.00,29.50,19.00
20190927092150,467.00,60.00,29.50,20.00
20190927092250,466.00,60.00,29.40,20.00
20190927092350,464.00,60.00,29.40,19.00
20190927092450,470.00,60.00,29.40,19.00
20190927092550,471.00,60.00,29.40,19.00
20190927092650,474.00,60.00,29.40,19.00
20190927092751,471.00,60.00,29.40,20.00
20190927092851,470.00,60.00,29.40,20.00
20190927092951,472.00,60.00,29.40,20.00
20190927093106,469.00,60.00,29.40,19.00
20190927093206,476.00,60.00,29.40,20.00
20190927093306,471.00,60.00,29.40,19.00
20190927093406,470.00,60.00,29.40,19.00
20190927093506,468.00,60.00,29.30,21.00
20190927093606,469.00,60.00,29.40,20.00
20190927093706,463.00,60.00,29.40,20.00
20190927093806,472.00,60.00,29.40,20.00
20190927093906,465.00,60.00,29.40,20.00
20190927094006,468.00,60.00,29.40,20.00
20190927094106,469.00,60.00,29.40,20.00
20190927094206,463.00,60.00,29.40,19.00
20190927094306,470.00,60.00,29.40,20.00
20190927094406,466.00,60.00,29.30,21.00
20190927094507,460.00,60.00,29.40,20.00
20190927094607,466.00,60.00,29.40,20.00
20190927094707,467.00,60.00,29.40,20.00
20190927094807,469.00,60.00,29.40,20.00
20190927094907,467.00,60.00,29.40,20.00
20190927095007,470.00,60.00,29.30,20.00
20190927095107,473.00,60.00,29.30,21.00
20190927095207,468.00,60.00,29.40,21.00
20190927095307,476.00,60.00,29.40,21.00
20190927095407,482.00,60.00,29.40,20.00
20190927095507,474.00,60.00,29.40,22.00
20190927095607,477.00,60.00,29.40,21.00
20190927095707,476.00,60.00,29.40,20.00
20190927095807,479.00,60.00,29.40,21.00
20190927095908,478.00,60.00,29.40,21.00
20190927100007,474.00,60.00,29.40,21.00
20190927100107,476.00,60.00,29.40,20.00
20190927100207,480.00,60.00,29.40,21.00
20190927100308,477.00,60.00,29.50,22.00
20190927100408,477.00,60.00,29.40,22.00
20190927100508,482.00,60.00,29.50,21.00
20190927100608,478.00,60.00,29.40,21.00
20190927100708,478.00,60.00,29.40,21.00
20190927100808,485.00,60.00,29.40,21.00
20190927100908,476.00,60.00,29.40,22.00
20190927101008,483.00,60.00,29.40,21.00
20190927101108,480.00,60.00,29.40,21.00
20190927101208,479.00,60.00,29.40,21.00
20190927101308,479.00,60.00,29.40,22.00
20190927101408,475.00,60.00,29.40,21.00
20190927101508,477.00,60.00,29.40,23.00
20190927101608,472.00,60.00,29.40,22.00
20190927101708,484.00,60.00,29.50,22.00
20190927101808,481.00,60.00,29.40,22.00
20190927101908,486.00,60.00,29.40,23.00
20190927102009,483.00,60.00,29.30,23.00
20190927102109,479.00,60.00,29.40,23.00
20190927102209,484.00,60.00,29.40,22.00
20190927102309,483.00,60.00,29.40,23.00
20190927102409,480.00,60.00,29.40,23.00
20190927102509,476.00,60.00,29.40,23.00
20190927102609,476.00,60.00,29.30,23.00
